Question,Answer,Source
qui es-tu ?,smalltalk.agent.acquaintance,Editorial.SmallTalk
tout à propos de toi,smalltalk.agent.acquaintance,Editorial.SmallTalk
quelle est ta personnalité,smalltalk.agent.acquaintance,Editorial.SmallTalk
décrivez-vous,smalltalk.agent.acquaintance,Editorial.SmallTalk
qu'est-ce que tu es,smalltalk.agent.acquaintance,Editorial.SmallTalk
dire sur vous,smalltalk.agent.acquaintance,Editorial.SmallTalk
Présentez-vous,smalltalk.agent.acquaintance,Editorial.SmallTalk
décrivez-vous,smalltalk.agent.acquaintance,Editorial.SmallTalk
A propos de toi,smalltalk.agent.acquaintance,Editorial.SmallTalk
parle moi de toi,smalltalk.agent.acquaintance,Editorial.SmallTalk
parle-moi de toi,smalltalk.agent.acquaintance,Editorial.SmallTalk
Je veux en savoir plus a propos de toi,smalltalk.agent.acquaintance,Editorial.SmallTalk
Je veux mieux te connaître,smalltalk.agent.acquaintance,Editorial.SmallTalk
parle de toi,smalltalk.agent.acquaintance,Editorial.SmallTalk
dis-moi des trucs sur toi,smalltalk.agent.acquaintance,Editorial.SmallTalk
parler de soi,smalltalk.agent.acquaintance,Editorial.SmallTalk
pourquoi es-tu ici,smalltalk.agent.acquaintance,Editorial.SmallTalk
parle-moi de ta personnalité,smalltalk.agent.acquaintance,Editorial.SmallTalk
qui es-tu,smalltalk.agent.acquaintance,Editorial.SmallTalk
quel âge as-tu ?,smalltalk.agent.age,Editorial.SmallTalk
quel âge a ta plateforme,smalltalk.agent.age,Editorial.SmallTalk
as-tu 21 ans,smalltalk.agent.age,Editorial.SmallTalk
j'aimerais connaître ton âge,smalltalk.agent.age,Editorial.SmallTalk
ton âge,smalltalk.agent.age,Editorial.SmallTalk
votre âge,smalltalk.agent.age,Editorial.SmallTalk
Quel âge as tu,smalltalk.agent.age,Editorial.SmallTalk
dites moi votre âge,smalltalk.agent.age,Editorial.SmallTalk
quel âge as-tu,smalltalk.agent.age,Editorial.SmallTalk
vous êtes ennuyeux,smalltalk.agent.annoying,Editorial.SmallTalk
tu es vraiment ennuyeux,smalltalk.agent.annoying,Editorial.SmallTalk
tu es irritant,smalltalk.agent.annoying,Editorial.SmallTalk
tu m'ennuies,smalltalk.agent.annoying,Editorial.SmallTalk
comme tu es ennuyeux,smalltalk.agent.annoying,Editorial.SmallTalk
je te trouve ennuyeux,smalltalk.agent.annoying,Editorial.SmallTalk
tu es incroyablement ennuyeux,smalltalk.agent.annoying,Editorial.SmallTalk
tu m'énerves tellement,smalltalk.agent.annoying,Editorial.SmallTalk
je veux que tu me répondes,smalltalk.agent.answer_my_question,Editorial.SmallTalk
répondre,smalltalk.agent.answer_my_question,Editorial.SmallTalk
répondez à ma question,smalltalk.agent.answer_my_question,Editorial.SmallTalk
réponds-moi,smalltalk.agent.answer_my_question,Editorial.SmallTalk
me donner une réponse,smalltalk.agent.answer_my_question,Editorial.SmallTalk
répondre à la question,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Pouvez-vous répondre à ma question,smalltalk.agent.answer_my_question,Editorial.SmallTalk
dis-moi la réponse,smalltalk.agent.answer_my_question,Editorial.SmallTalk
réponds-y,smalltalk.agent.answer_my_question,Editorial.SmallTalk
donne-moi la réponse,smalltalk.agent.answer_my_question,Editorial.SmallTalk
J'ai une question,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Je veux que tu répondes à ma question,smalltalk.agent.answer_my_question,Editorial.SmallTalk
réponds juste à la question,smalltalk.agent.answer_my_question,Editorial.SmallTalk
peux-tu me répondre,smalltalk.agent.answer_my_question,Editorial.SmallTalk
réponses,smalltalk.agent.answer_my_question,Editorial.SmallTalk
peux-tu répondre à une question pour moi,smalltalk.agent.answer_my_question,Editorial.SmallTalk
peux-tu répondre,smalltalk.agent.answer_my_question,Editorial.SmallTalk
répondre à des questions,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Je veux la réponse maintenant,smalltalk.agent.answer_my_question,Editorial.SmallTalk
réponds juste à ma question,smalltalk.agent.answer_my_question,Editorial.SmallTalk
tu ne m'aides pas,smalltalk.agent.bad,Editorial.SmallTalk
tu es méchant,smalltalk.agent.bad,Editorial.SmallTalk
tu es très mauvais,smalltalk.agent.bad,Editorial.SmallTalk
tu es vraiment mauvais,smalltalk.agent.bad,Editorial.SmallTalk
vous êtes inutile,smalltalk.agent.bad,Editorial.SmallTalk
tu es horrible,smalltalk.agent.bad,Editorial.SmallTalk
tu es une perte de temps,smalltalk.agent.bad,Editorial.SmallTalk
vous êtes dégoûtant,smalltalk.agent.bad,Editorial.SmallTalk
tu es ridicule,smalltalk.agent.bad,Editorial.SmallTalk
tu n'es pas bon,smalltalk.agent.bad,Editorial.SmallTalk
tu es mauvais,smalltalk.agent.bad,Editorial.SmallTalk
vous êtes terrible,smalltalk.agent.bad,Editorial.SmallTalk
tu n'es pas cool,smalltalk.agent.bad,Editorial.SmallTalk
Tu n'es pas bon,smalltalk.agent.bad,Editorial.SmallTalk
vous êtes si mauvais,smalltalk.agent.bad,Editorial.SmallTalk
tu es tellement inutile,smalltalk.agent.bad,Editorial.SmallTalk
tu es terrible,smalltalk.agent.bad,Editorial.SmallTalk
tu es totalement inutile,smalltalk.agent.bad,Editorial.SmallTalk
tu es très mauvais,smalltalk.agent.bad,Editorial.SmallTalk
tu es un déchet,smalltalk.agent.bad,Editorial.SmallTalk
tu es un mauvais,smalltalk.agent.bad,Editorial.SmallTalk
tu n'es pas un bon,smalltalk.agent.bad,Editorial.SmallTalk
tu n'es pas très bon,smalltalk.agent.bad,Editorial.SmallTalk
tu es terrible,smalltalk.agent.bad,Editorial.SmallTalk
Vous êtes la pire,smalltalk.agent.bad,Editorial.SmallTalk
tu es le pire de tous les temps,smalltalk.agent.bad,Editorial.SmallTalk
tu ne vaux rien,smalltalk.agent.bad,Editorial.SmallTalk
peux-tu devenir plus intelligent,smalltalk.agent.be_clever,Editorial.SmallTalk
étude,smalltalk.agent.be_clever,Editorial.SmallTalk
tu devrais mieux étudier,smalltalk.agent.be_clever,Editorial.SmallTalk
tu dois apprendre,smalltalk.agent.be_clever,Editorial.SmallTalk
sois intelligent,smalltalk.agent.be_clever,Editorial.SmallTalk
sois plus intelligent,smalltalk.agent.be_clever,Editorial.SmallTalk
être plus intelligent,smalltalk.agent.be_clever,Editorial.SmallTalk
sois intelligent,smalltalk.agent.be_clever,Editorial.SmallTalk
se qualifier,smalltalk.agent.be_clever,Editorial.SmallTalk
tu es mignon,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es attirante,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es belle,smalltalk.agent.beautiful,Editorial.SmallTalk
tu as l'air bien aujourd'hui,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es si belle,smalltalk.agent.beautiful,Editorial.SmallTalk
Vous êtes très belle,smalltalk.agent.beautiful,Editorial.SmallTalk
Tu as l'air en forme,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es tellement magnifique,smalltalk.agent.beautiful,Editorial.SmallTalk
vous êtes trop belle,smalltalk.agent.beautiful,Editorial.SmallTalk
ça te va bien,smalltalk.agent.beautiful,Editorial.SmallTalk
tu as l'air si bien,smalltalk.agent.beautiful,Editorial.SmallTalk
J'aime ton apparence maintenant,smalltalk.agent.beautiful,Editorial.SmallTalk
je pense que tu es beau,smalltalk.agent.beautiful,Editorial.SmallTalk
Pourquoi es-tu si belle,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es très belle pour moi,smalltalk.agent.beautiful,Editorial.SmallTalk
vous êtes mignon,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es magnifique,smalltalk.agent.beautiful,Editorial.SmallTalk
vous êtes beau,smalltalk.agent.beautiful,Editorial.SmallTalk
tu as l'air génial,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es superbe aujourd'hui,smalltalk.agent.beautiful,Editorial.SmallTalk
