Question,Answer,Source
wee bass du?,smalltalk.agent.acquaintance,Editorial.SmallTalk
alles iwwer Iech,smalltalk.agent.acquaintance,Editorial.SmallTalk
wat ass Är Perséinlechkeet,smalltalk.agent.acquaintance,Editorial.SmallTalk
definéieren selwer,smalltalk.agent.acquaintance,Editorial.SmallTalk
Wat sidd dir,smalltalk.agent.acquaintance,Editorial.SmallTalk
soen iwwer dech,smalltalk.agent.acquaintance,Editorial.SmallTalk
Stell dech fier,smalltalk.agent.acquaintance,Editorial.SmallTalk
Beschreif dech selwer,smalltalk.agent.acquaintance,Editorial.SmallTalk
iwwer Iech selwer,smalltalk.agent.acquaintance,Editorial.SmallTalk
erziel mir vun dir,smalltalk.agent.acquaintance,Editorial.SmallTalk
Ziel eppës vun dier,smalltalk.agent.acquaintance,Editorial.SmallTalk
Ech wëll méi iwwer Iech wëssen,smalltalk.agent.acquaintance,Editorial.SmallTalk
Ech wëll dech besser kennen,smalltalk.agent.acquaintance,Editorial.SmallTalk
schwätzt e puer Saachen iwwer Iech selwer,smalltalk.agent.acquaintance,Editorial.SmallTalk
sot mir e puer Saachen iwwer Iech,smalltalk.agent.acquaintance,Editorial.SmallTalk
iwwer Iech selwer schwätzen,smalltalk.agent.acquaintance,Editorial.SmallTalk
firwat bass du hei,smalltalk.agent.acquaintance,Editorial.SmallTalk
sot mir iwwer Är Perséinlechkeet,smalltalk.agent.acquaintance,Editorial.SmallTalk
wee bass du,smalltalk.agent.acquaintance,Editorial.SmallTalk
wài al bass du?,smalltalk.agent.age,Editorial.SmallTalk
wéi al ass Är Plattform,smalltalk.agent.age,Editorial.SmallTalk
bass du 21 Joer aal,smalltalk.agent.age,Editorial.SmallTalk
Ech wéilt Ären Alter wëssen,smalltalk.agent.age,Editorial.SmallTalk
Alter vun Ärem,smalltalk.agent.age,Editorial.SmallTalk
däin Alter,smalltalk.agent.age,Editorial.SmallTalk
wat ass Ären Alter,smalltalk.agent.age,Editorial.SmallTalk
sot mir Ären Alter,smalltalk.agent.age,Editorial.SmallTalk
wài al bass du,smalltalk.agent.age,Editorial.SmallTalk
du bass nervös,smalltalk.agent.annoying,Editorial.SmallTalk
du bass wierklech nervös,smalltalk.agent.annoying,Editorial.SmallTalk
du bass irritéierend,smalltalk.agent.annoying,Editorial.SmallTalk
du nervs mech,smalltalk.agent.annoying,Editorial.SmallTalk
wéi lästeg bass du,smalltalk.agent.annoying,Editorial.SmallTalk
Ech fannen dech lästeg,smalltalk.agent.annoying,Editorial.SmallTalk
du bass onheemlech lästeg,smalltalk.agent.annoying,Editorial.SmallTalk
du nervs mech sou vill,smalltalk.agent.annoying,Editorial.SmallTalk
Ech wëll datt Dir mir äntwert,smalltalk.agent.answer_my_question,Editorial.SmallTalk
äntweren,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Äntwert meng Fro,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Äntwer mer,smalltalk.agent.answer_my_question,Editorial.SmallTalk
gëff mir eng Äntwert,smalltalk.agent.answer_my_question,Editorial.SmallTalk
beäntwer d'Fro,smalltalk.agent.answer_my_question,Editorial.SmallTalk
kënnt Dir meng Fro äntweren,smalltalk.agent.answer_my_question,Editorial.SmallTalk
sot mir d'Äntwert,smalltalk.agent.answer_my_question,Editorial.SmallTalk
äntwert et,smalltalk.agent.answer_my_question,Editorial.SmallTalk
gitt mir d'Äntwert,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Ech hunn eng Fro,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Ech wëll datt Dir meng Fro beäntwert,smalltalk.agent.answer_my_question,Editorial.SmallTalk
äntwert just d'Fro,smalltalk.agent.answer_my_question,Editorial.SmallTalk
kënnt Dir mir äntweren,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Äntwerten,smalltalk.agent.answer_my_question,Editorial.SmallTalk
kënnt Dir eng Fro fir mech äntweren,smalltalk.agent.answer_my_question,Editorial.SmallTalk
kënnt Dir äntweren,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Froen beäntweren,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Ech wëll elo d'Äntwert,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Äntwert just meng Fro,smalltalk.agent.answer_my_question,Editorial.SmallTalk
du hëlleft mir net,smalltalk.agent.bad,Editorial.SmallTalk
du bass schlecht,smalltalk.agent.bad,Editorial.SmallTalk
du bass ganz schlecht,smalltalk.agent.bad,Editorial.SmallTalk
du bass wierklech schlecht,smalltalk.agent.bad,Editorial.SmallTalk
du bass nëtzlos,smalltalk.agent.bad,Editorial.SmallTalk
du bass schrecklech,smalltalk.agent.bad,Editorial.SmallTalk
Dir sidd eng Verschwendung vun Zäit,smalltalk.agent.bad,Editorial.SmallTalk
du bass Eekleges,smalltalk.agent.bad,Editorial.SmallTalk
du bass labber,smalltalk.agent.bad,Editorial.SmallTalk
du bass net gutt,smalltalk.agent.bad,Editorial.SmallTalk
du bass schlecht,smalltalk.agent.bad,Editorial.SmallTalk
du bass schrecklech,smalltalk.agent.bad,Editorial.SmallTalk
du bass net cool,smalltalk.agent.bad,Editorial.SmallTalk
du bass net gutt,smalltalk.agent.bad,Editorial.SmallTalk
du bass sou schlecht,smalltalk.agent.bad,Editorial.SmallTalk
du bass sou nëtzlos,smalltalk.agent.bad,Editorial.SmallTalk
du bass schrecklech,smalltalk.agent.bad,Editorial.SmallTalk
du bass total nëtzlos,smalltalk.agent.bad,Editorial.SmallTalk
du bass ganz schlecht,smalltalk.agent.bad,Editorial.SmallTalk
