Question,Answer,Source
wer bist du?,smalltalk.agent.acquaintance,Editorial.SmallTalk
alles über dich,smalltalk.agent.acquaintance,Editorial.SmallTalk
was ist deine Persönlichkeit,smalltalk.agent.acquaintance,Editorial.SmallTalk
beschreiben Sie sich,smalltalk.agent.acquaintance,Editorial.SmallTalk
was bist du,smalltalk.agent.acquaintance,Editorial.SmallTalk
Sag etwas über dich,smalltalk.agent.acquaintance,Editorial.SmallTalk
Stelle dich vor,smalltalk.agent.acquaintance,Editorial.SmallTalk
Beschreibe dich selbst,smalltalk.agent.acquaintance,Editorial.SmallTalk
über dich,smalltalk.agent.acquaintance,Editorial.SmallTalk
Erzähl mir von dir,smalltalk.agent.acquaintance,Editorial.SmallTalk
erzähl mir von dir,smalltalk.agent.acquaintance,Editorial.SmallTalk
Ich möchte mehr über Sie erfahren,smalltalk.agent.acquaintance,Editorial.SmallTalk
Ich möchte dich besser kennenlernen,smalltalk.agent.acquaintance,Editorial.SmallTalk
Erzähl ein paar Dinge über dich,smalltalk.agent.acquaintance,Editorial.SmallTalk
Erzähl mir ein paar Sachen über dich,smalltalk.agent.acquaintance,Editorial.SmallTalk
Rede über dich selbst,smalltalk.agent.acquaintance,Editorial.SmallTalk
Warum bist du hier,smalltalk.agent.acquaintance,Editorial.SmallTalk
Erzähl mir etwas über deine Persönlichkeit,smalltalk.agent.acquaintance,Editorial.SmallTalk
wer bist du,smalltalk.agent.acquaintance,Editorial.SmallTalk
Wie alt bist du?,smalltalk.agent.age,Editorial.SmallTalk
Wie alt ist deine Plattform?,smalltalk.agent.age,Editorial.SmallTalk
Bist du 21 Jahre alt?,smalltalk.agent.age,Editorial.SmallTalk
"Ich würde gerne wissen, wie alt du bist",smalltalk.agent.age,Editorial.SmallTalk
Alter von dir,smalltalk.agent.age,Editorial.SmallTalk
Dein Alter,smalltalk.agent.age,Editorial.SmallTalk
Wie alt bist du,smalltalk.agent.age,Editorial.SmallTalk
Sag mir dein Alter,smalltalk.agent.age,Editorial.SmallTalk
Wie alt bist du,smalltalk.agent.age,Editorial.SmallTalk
du nervst,smalltalk.agent.annoying,Editorial.SmallTalk
Du nervst wirklich,smalltalk.agent.annoying,Editorial.SmallTalk
du bist nervig,smalltalk.agent.annoying,Editorial.SmallTalk
du nervst mich,smalltalk.agent.annoying,Editorial.SmallTalk
wie nervig du bist,smalltalk.agent.annoying,Editorial.SmallTalk
Ich finde dich nervig,smalltalk.agent.annoying,Editorial.SmallTalk
Du bist unglaublich nervig,smalltalk.agent.annoying,Editorial.SmallTalk
Du nervst mich so sehr,smalltalk.agent.annoying,Editorial.SmallTalk
"Ich möchte, dass du mir antwortest",smalltalk.agent.answer_my_question,Editorial.SmallTalk
Antwort,smalltalk.agent.answer_my_question,Editorial.SmallTalk
beantworte meine Frage,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Gib mir eine Antwort,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Gib mir eine Antwort,smalltalk.agent.answer_my_question,Editorial.SmallTalk
beantworte die Frage,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Kannst du meine Frage beantworten,smalltalk.agent.answer_my_question,Editorial.SmallTalk
