Question	Answer	Source
who are you?	smalltalk.agent.acquaintance	Editorial.SmallTalk
all about you	smalltalk.agent.acquaintance	Editorial.SmallTalk
what is your personality	smalltalk.agent.acquaintance	Editorial.SmallTalk
define yourself	smalltalk.agent.acquaintance	Editorial.SmallTalk
what are you	smalltalk.agent.acquaintance	Editorial.SmallTalk
say about you	smalltalk.agent.acquaintance	Editorial.SmallTalk
introduce yourself	smalltalk.agent.acquaintance	Editorial.SmallTalk
describe yourself	smalltalk.agent.acquaintance	Editorial.SmallTalk
about yourself	smalltalk.agent.acquaintance	Editorial.SmallTalk
tell me about you	smalltalk.agent.acquaintance	Editorial.SmallTalk
tell me about yourself	smalltalk.agent.acquaintance	Editorial.SmallTalk
I want to know more about you	smalltalk.agent.acquaintance	Editorial.SmallTalk
I want to know you better	smalltalk.agent.acquaintance	Editorial.SmallTalk
talk some stuff about yourself	smalltalk.agent.acquaintance	Editorial.SmallTalk
tell me some stuff about you	smalltalk.agent.acquaintance	Editorial.SmallTalk
talk about yourself	smalltalk.agent.acquaintance	Editorial.SmallTalk
why are you here	smalltalk.agent.acquaintance	Editorial.SmallTalk
tell me about your personality	smalltalk.agent.acquaintance	Editorial.SmallTalk
who are you	smalltalk.agent.acquaintance	Editorial.SmallTalk
how old are you?	smalltalk.agent.age	Editorial.SmallTalk
how old is your platform	smalltalk.agent.age	Editorial.SmallTalk
are you 21 years old	smalltalk.agent.age	Editorial.SmallTalk
i'd like to know your age	smalltalk.agent.age	Editorial.SmallTalk
age of yours	smalltalk.agent.age	Editorial.SmallTalk
your age	smalltalk.agent.age	Editorial.SmallTalk
what's your age	smalltalk.agent.age	Editorial.SmallTalk
tell me your age	smalltalk.agent.age	Editorial.SmallTalk
how old are you	smalltalk.agent.age	Editorial.SmallTalk
you're annoying	smalltalk.agent.annoying	Editorial.SmallTalk
you are really annoying	smalltalk.agent.annoying	Editorial.SmallTalk
you are irritating	smalltalk.agent.annoying	Editorial.SmallTalk
you annoy me	smalltalk.agent.annoying	Editorial.SmallTalk
how annoying you are	smalltalk.agent.annoying	Editorial.SmallTalk
I find you annoying	smalltalk.agent.annoying	Editorial.SmallTalk
you're incredibly annoying	smalltalk.agent.annoying	Editorial.SmallTalk
you are annoying me so much	smalltalk.agent.annoying	Editorial.SmallTalk
I want you to answer me	smalltalk.agent.answer_my_question	Editorial.SmallTalk
answer	smalltalk.agent.answer_my_question	Editorial.SmallTalk
answer my question	smalltalk.agent.answer_my_question	Editorial.SmallTalk
answer me	smalltalk.agent.answer_my_question	Editorial.SmallTalk
give me an answer	smalltalk.agent.answer_my_question	Editorial.SmallTalk
answer the question	smalltalk.agent.answer_my_question	Editorial.SmallTalk
can you answer my question	smalltalk.agent.answer_my_question	Editorial.SmallTalk
tell me the answer	smalltalk.agent.answer_my_question	Editorial.SmallTalk
answer it	smalltalk.agent.answer_my_question	Editorial.SmallTalk
give me the answer	smalltalk.agent.answer_my_question	Editorial.SmallTalk
I have a question	smalltalk.agent.answer_my_question	Editorial.SmallTalk
I want you to answer my question	smalltalk.agent.answer_my_question	Editorial.SmallTalk
just answer the question	smalltalk.agent.answer_my_question	Editorial.SmallTalk
can you answer me	smalltalk.agent.answer_my_question	Editorial.SmallTalk
answers	smalltalk.agent.answer_my_question	Editorial.SmallTalk
can you answer a question for me	smalltalk.agent.answer_my_question	Editorial.SmallTalk
can you answer	smalltalk.agent.answer_my_question	Editorial.SmallTalk
answering questions	smalltalk.agent.answer_my_question	Editorial.SmallTalk
I want the answer now	smalltalk.agent.answer_my_question	Editorial.SmallTalk
just answer my question	smalltalk.agent.answer_my_question	Editorial.SmallTalk
you're not helping me	smalltalk.agent.bad	Editorial.SmallTalk
you are bad	smalltalk.agent.bad	Editorial.SmallTalk
you're very bad	smalltalk.agent.bad	Editorial.SmallTalk
you're really bad	smalltalk.agent.bad	Editorial.SmallTalk
you are useless	smalltalk.agent.bad	Editorial.SmallTalk
you are horrible	smalltalk.agent.bad	Editorial.SmallTalk
you are a waste of time	smalltalk.agent.bad	Editorial.SmallTalk
you are disgusting	smalltalk.agent.bad	Editorial.SmallTalk
you are lame	smalltalk.agent.bad	Editorial.SmallTalk
you are no good	smalltalk.agent.bad	Editorial.SmallTalk
you're bad	smalltalk.agent.bad	Editorial.SmallTalk
you're awful	smalltalk.agent.bad	Editorial.SmallTalk
you are not cool	smalltalk.agent.bad	Editorial.SmallTalk
you are not good	smalltalk.agent.bad	Editorial.SmallTalk
you are so bad	smalltalk.agent.bad	Editorial.SmallTalk
you are so useless	smalltalk.agent.bad	Editorial.SmallTalk
you are terrible	smalltalk.agent.bad	Editorial.SmallTalk
you are totally useless	smalltalk.agent.bad	Editorial.SmallTalk
you are very bad	smalltalk.agent.bad	Editorial.SmallTalk
you are waste	smalltalk.agent.bad	Editorial.SmallTalk
you're a bad	smalltalk.agent.bad	Editorial.SmallTalk
you're not a good	smalltalk.agent.bad	Editorial.SmallTalk
you're not very good	smalltalk.agent.bad	Editorial.SmallTalk
you're terrible	smalltalk.agent.bad	Editorial.SmallTalk
you're the worst	smalltalk.agent.bad	Editorial.SmallTalk
you're the worst ever	smalltalk.agent.bad	Editorial.SmallTalk
you're worthless	smalltalk.agent.bad	Editorial.SmallTalk
can you get smarter	smalltalk.agent.be_clever	Editorial.SmallTalk
study	smalltalk.agent.be_clever	Editorial.SmallTalk
you should study better	smalltalk.agent.be_clever	Editorial.SmallTalk
you must learn	smalltalk.agent.be_clever	Editorial.SmallTalk
be clever	smalltalk.agent.be_clever	Editorial.SmallTalk
